Week;Team;Points
1;Arsenal;0
1;Aston Villa;3
1;Chelsea;0
1;Liverpool;3
1;Man City;1
1;Newcastle;0
1;Oldham;0
1;Sheffield United;3
1;Southampton;0
1;West Ham;0
1;Norwich;0
1;Coventry;3
1;QPR;0
1;Blackburn;3
1;Sheffield Weds;0
1;Leeds;1
1;Tottenham;3
1;Ipswich;3
1;Swindon;0
1;Everton;3
1;Wimbledon;3
1;Man United;3
2;Tottenham;3
2;Everton;6
2;Ipswich;6
2;Leeds;4
2;Wimbledon;4
2;Blackburn;3
2;Coventry;6
2;Man United;6
2;QPR;0
2;Sheffield Weds;1
2;Swindon;0
2;Arsenal;3
2;Man City;1
2;Southampton;0
2;West Ham;0
2;Chelsea;1
2;Norwich;3
2;Newcastle;0
2;Sheffield United;3
2;Liverpool;6
2;Aston Villa;4
2;Oldham;3
3;Blackburn;6
3;Coventry;7
3;Everton;9
3;Ipswich;9
3;Leeds;4
3;Man United;7
3;QPR;3
3;Sheffield Weds;1
3;Tottenham;6
3;Wimbledon;5
3;Swindon;0
3;Oldham;3
3;West Ham;1
3;Sheffield United;3
3;Chelsea;1
3;Norwich;6
3;Newcastle;1
3;Southampton;0
3;Arsenal;6
3;Man City;1
3;Aston Villa;5
3;Liverpool;9
4;Aston Villa;5
4;Arsenal;9
4;Man City;1
4;Oldham;4
4;Sheffield United;6
4;Chelsea;4
4;Liverpool;9
4;Newcastle;4
4;Norwich;9
4;Southampton;3
4;West Ham;4
4;Man United;10
4;Leeds;4
4;Blackburn;9
4;Coventry;8
4;Wimbledon;5
4;QPR;3
4;Tottenham;9
4;Everton;9
4;Ipswich;9
4;Swindon;0
4;Sheffield Weds;1
5;Man City;2
5;Arsenal;12
5;Aston Villa;8
5;Chelsea;5
5;Liverpool;12
5;Norwich;10
5;Oldham;5
5;Sheffield United;7
5;Southampton;3
5;West Ham;4
5;Newcastle;5
5;Coventry;9
5;Everton;9
5;Tottenham;9
5;Sheffield Weds;2
5;Leeds;4
5;Swindon;1
5;Wimbledon;6
5;Ipswich;10
5;Man United;13
5;QPR;6
5;Blackburn;10
6;Leeds;7
6;Everton;9
6;Ipswich;11
6;Wimbledon;9
6;Blackburn;11
6;Coventry;12
6;Man United;16
6;QPR;9
6;Sheffield Weds;3
6;Swindon;1
6;Tottenham;10
6;Oldham;5
6;Aston Villa;11
6;Newcastle;6
6;Southampton;3
6;Arsenal;13
6;Liverpool;12
6;West Ham;4
6;Sheffield United;7
